datetime,Global_active_power,hour,rate,hourly_cost,optimized_power,optimized_cost,savings,month,year
2006-12-16 17:00:00,4.222888888888889,17,6.5,27.448777777777778,4.222888888888889,27.448777777777778,0.0,12,2006
2006-12-16 18:00:00,3.6322,18,6.5,23.6093,3.6322,23.6093,0.0,12,2006
2006-12-16 19:00:00,3.400233333333333,19,9.75,33.152274999999996,2.7201866666666668,26.52182,6.630454999999994,12,2006
2006-12-16 20:00:00,3.2685666666666666,20,9.75,31.868524999999998,2.6148533333333335,25.49482,6.3737049999999975,12,2006
2006-12-16 21:00:00,3.0564666666666667,21,9.75,29.80055,2.4451733333333334,23.84044,5.96011,12,2006
2006-12-16 22:00:00,2.200133333333333,22,6.5,14.300866666666664,2.200133333333333,14.300866666666664,0.0,12,2006
2006-12-16 23:00:00,2.0616,23,6.5,13.4004,2.0616,13.4004,0.0,12,2006
2006-12-17 00:00:00,1.8824666666666665,0,6.5,12.236033333333332,1.8824666666666665,12.236033333333332,0.0,12,2006
2006-12-17 01:00:00,3.3494,1,6.5,21.7711,3.3494,21.7711,0.0,12,2006
2006-12-17 02:00:00,1.5872666666666668,2,6.5,10.317233333333334,1.5872666666666668,10.317233333333334,0.0,12,2006
2006-12-17 03:00:00,1.6622,3,6.5,10.8043,1.6622,10.8043,0.0,12,2006
2006-12-17 04:00:00,2.2157666666666667,4,6.5,14.402483333333333,2.2157666666666667,14.402483333333333,0.0,12,2006
2006-12-17 05:00:00,1.9967333333333332,5,6.5,12.978766666666665,1.9967333333333332,12.978766666666665,0.0,12,2006
2006-12-17 06:00:00,1.3033,6,6.5,8.471449999999999,1.3033,8.471449999999999,0.0,12,2006
2006-12-17 07:00:00,1.6200333333333332,7,6.5,10.530216666666666,1.6200333333333332,10.530216666666666,0.0,12,2006
2006-12-17 08:00:00,1.8905666666666667,8,6.5,12.288683333333333,1.8905666666666667,12.288683333333333,0.0,12,2006
2006-12-17 09:00:00,2.5490666666666666,9,6.5,16.568933333333334,2.5490666666666666,16.568933333333334,0.0,12,2006
2006-12-17 10:00:00,3.6289,10,6.5,23.58785,3.6289,23.58785,0.0,12,2006
